Gender,FavSeason,WritingHand,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie,Hair,FavSocialMedia,HoursSpentOnSocialMedia,HoursExercise,HoursClasses,SleepWeekday,SleepWeekend,LegalizingMarijuana,HighSchoolGPA,CollegeGPA,Tattoos,TrafficTickets,TextWhileDriving,Chocholate
Female,Spring,Right,Junior,CBS,U.S.,Yes,No,Depends,2,160,Instagram,5,1,5,7,12,Yes,3.93,3.45,0,0,No,75
Female,Spring,Right,Junior,CBS,U.S.,Yes,Yes,Evening,None,0,TikTok,1,2,3,8,8,Yes,4,3.9,0,0,No,80
Male,Spring,Left,Junior,CBS,U.S.,Yes,Yes,Evening,2,18,YouTube,2,1,8,7,10,Yes,3.98,3.4,0,0,No,80
Female,Winter,Right,Freshman,CBS,U.S.,Yes,No,Evening,None,30,Instagram,2,1,4,7,8,No,4,0,0,0,No,80
Male,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,None,35,TikTok,2,2,4,6,8,Yes,3.9,3.4,0,0,No,90
Female,Spring,Right,Senior,CBS,U.S.,Yes,No,Morning,None,120,TikTok,3,0.5,3,7,10,Yes,3.47,3.228,3,2,No,90
Male,Summer,Right,Junior,CBS,U.S.,Yes,No,Morning,None,13,YouTube,3,1,6,7.5,8,Not sure,3.9,3.9,0,0,No,100
Female,Winter,Right,Freshman,CBS,U.S.,No,Yes,Evening,2,60,TikTok,5,1,6,6,8,Yes,3.8,0,0,0,Yes,125
Female,Summer,Right,Freshman,CBS,U.S.,No,Yes,Depends,1,40,TikTok,3,1,5,7,8,Not sure,3.9,0,0,0,No,130
Female,Fall,Right,Junior,CBS,U.S.,Yes,Yes,Depends,None,50,Instagram,2,1,8,7,8,Yes,3.9,3,1,2,No,169
Other/Prefer not to answer,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,40,TikTok,2,1,2,4,9,Yes,3.9,0,1,0,No,182
Female,Summer,Right,Junior,CBS,U.S.,No,Yes,Evening,1,80,TikTok,3,1,6,7,8,Not sure,4,3.6,0,2,No,
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,No,Evening,2,140,TikTok,5,1,4,8,10,Yes,3.6,3.75,0,1,Yes,
Male,Winter,Right,Junior,CFANS,International,No,Yes,Evening,4 or more,40,TikTok,2,1,5,7,8,No,3.5,3.5,0,0,No,20
Male,Spring,Right,Sophomore,CFANS,U.S.,Yes,No,Depends,None,30,Others,3,1,4,6.5,7,Yes,3.65,3.65,0,0,No,23
Female,Spring,Right,Sophomore,CFANS,U.S.,Yes,No,Depends,1,0,Instagram,4,1,5,7,8,Not sure,3.4,3,0,-1,No,23
Female,Fall,Right,Junior,CFANS,U.S.,Yes,Yes,Morning,None,30,Twitter,1,2,8,6,8,Yes,3.3,3,1,0,Yes,24
Male,Fall,Right,Junior,CFANS,U.S.,Yes,No,Morning,None,0,Instagram,1,1,4,7,8,Yes,3.7,3.2,0,1,Yes,29
Female,Spring,Right,Sophomore,CFANS,U.S.,Yes,Yes,Depends,1,40,Facebook,5,2,12,7,8,Yes,3.7,3.5,0,0,No,30
Male,Fall,Right,Freshman,CFANS,U.S.,Yes,Yes,Depends,None,25,Instagram,2,2,7,7,8,Not sure,3.9,0,0,1,No,33
Female,Fall,Right,Sophomore,CFANS,U.S.,Yes,No,Morning,None,75,Others,2,0.5,4.5,7,9,Yes,3.8,3.1,0,0,No,34
Female,Fall,Right,Sophomore,CFANS,U.S.,No,Yes,Morning,None,25,Instagram,1,2,9,6,8,Not sure,3.7,3.81,0,1,Yes,35
Female,Summer,Right,Junior,CFANS,U.S.,Prefer not to answer,No,Evening,None,50,Twitter,1.5,0.5,5,6,7,Not sure,3.34,3.56,0,-1,No,35
Female,Fall,Right,Junior,CFANS,U.S.,Yes,No,Depends,1,320,Others,6,1.5,4,7,7,Yes,3.8,3.5,0,0,Yes,35
Female,Spring,Right,Junior,CFANS,U.S.,Yes,Yes,Evening,None,200,TikTok,6,1.5,3,7,9,Yes,4,3.9,3,0,Yes,36
Female,Fall,Right,Sophomore,CFANS,U.S.,Yes,No,Depends,1,55,TikTok,3,1,7,6,3,Yes,3.9,3.7,2,0,No,37
Male,Fall,Right,Sophomore,CFANS,U.S.,Yes,Yes,Depends,1,13,Instagram,3,1,5,7.5,6,Yes,3.89,3,1,0,No,38
Male,Fall,Right,Sophomore,CFANS,U.S.,Yes,Yes,Morning,2,40,Instagram,4,2,3,8,7,Yes,3.9,3.7,2,0,Yes,38
Female,Fall,Both,Junior,CFANS,U.S.,Yes,No,Evening,None,175,Instagram,2,6,4,6,7,Not sure,3.7,3.2,0,0,No,40
Female,Fall,Right,Senior,CFANS,U.S.,No,Yes,Evening,1,120,Instagram,1,1,4,7,8,No,4,3.9,0,0,No,42
Female,Fall,Right,Sophomore,CFANS,U.S.,Yes,Yes,Depends,None,50,Instagram,1.5,3,8,5,5,Yes,3.82,3.75,1,1,No,42
Female,Summer,Left,Senior,CFANS,U.S.,No,No,Morning,None,80,Facebook,1,2,6,9,10,Yes,3.8,3,1,1,Yes,45
Female,Fall,Right,Sophomore,CFANS,U.S.,Yes,Yes,Evening,1,150,Instagram,3,1,3,8,10,Not sure,3.82,2.8,0,0,No,47
Male,Fall,Right,Junior,CFANS,U.S.,No,Yes,Evening,2,45,TikTok,5,10,24,7,9,Yes,3.85,3.83,0,0,No,50
Female,Fall,Right,Sophomore,CFANS,U.S.,Yes,No,Evening,2,50,Instagram,3,1.5,5,8,9,Not sure,4,3.9,0,0,No,52
Female,Fall,Right,Freshman,CFANS,U.S.,No,Yes,Depends,1,150,TikTok,2,0,8,7,9,Not sure,4,0,0,0,No,54
Male,Spring,Left,Junior,CFANS,U.S.,Yes,No,Depends,1,0,Instagram,4,3,6,6,6,Yes,3.55,3.574,0,2,Yes,54
Male,Summer,Right,Sophomore,CFANS,U.S.,Yes,Yes,Depends,None,30,TikTok,3,2,3,7,10,Yes,4,3.3,0,0,No,61
Male,Fall,Right,Sophomore,CFANS,U.S.,No,No,Morning,None,30,YouTube,2,2,3,6,6,Yes,3.2,3.5,2,-1,No,64
Male,Fall,Right,Sophomore,CFANS,U.S.,No,Yes,Evening,1,27,Instagram,2,2,2,6,6,Yes,3.8,4,1,0,No,71
Female,Fall,Right,Junior,CFANS,U.S.,Yes,Yes,Evening,None,75,YouTube,1,1,2,7,9,Yes,3.85,0,1,0,No,100
Male,Summer,Right,Junior,CFANS,U.S.,Yes,No,Evening,2,30,YouTube,3,1,4,7,9,Yes,3.2,3.1,0,0,No,130
Male,Fall,Right,Senior,CLA,International,No,No,Evening,3,45,Others,4,1,2,9,9,No,3.5,3.83,0,-1,No,0
Male,Fall,Right,Sophomore,CLA,International,No,No,Morning,2,30,Others,2,2,4,7,7,No,0,2.9,0,-1,No,10
Male,Fall,Right,Freshman,CLA,U.S.,No,Yes,Morning,None,70,Instagram,2,4,5,8,10,Yes,3.86,0,0,0,No,18
Female,Summer,Right,Sophomore,CLA,U.S.,No,Yes,Evening,3,200,Instagram,8,3,4,7,10,Yes,4,3.5,0,0,Yes,20
Female,Fall,Right,Freshman,CLA,U.S.,Yes,Yes,Evening,4 or more,40,Instagram,2,1,5,5,10,Yes,4,0,0,0,No,21
Female,Fall,Right,Sophomore,CLA,U.S.,No,Yes,Depends,None,25,Instagram,3,0,2,8,9,Yes,3.9,3.6,0,0,No,22
Male,Summer,Right,Sophomore,CLA,U.S.,Yes,Yes,Depends,None,20,Instagram,1,2,4,8,8,Yes,3.8,3.5,0,0,No,23
Male,Summer,Right,Sophomore,CLA,U.S.,Yes,Yes,Evening,2,25,TikTok,2,2,6,6,7,Yes,3.5,3.4,0,0,No,26
Female,Summer,Right,Freshman,CLA,U.S.,Yes,Yes,Evening,None,170,TikTok,1.5,1,2,8,7,Not sure,3.6,0,1,0,No,27
Male,Summer,Right,Junior,CLA,U.S.,No,No,Depends,None,25,YouTube,2,1,3,6,7,Not sure,0,3.2,0,1,No,27
Male,Summer,Right,Freshman,CLA,U.S.,Yes,Yes,Morning,1,20,YouTube,6,2,6,6,8,Yes,3.87,0,0,-1,No,27
Male,Fall,Right,Sophomore,CLA,International,No,Yes,Depends,2,30,Others,2,1.5,3,9,9.5,Not sure,3.2,3.1,0,0,No,28
Male,Summer,Right,Freshman,CLA,International,No,Yes,Depends,2,3,YouTube,1,1,1.5,7,7,Not sure,3.6,0,0,-1,No,30
Male,Summer,Right,Freshman,CLA,International,No,Yes,Depends,2,3,YouTube,1,2,5,7,7,Not sure,3.6,0,0,-1,No,30
Female,Winter,Right,Junior,CLA,U.S.,Yes,Yes,Evening,None,15,YouTube,1,0.5,3,8,9,Yes,3.85,3.793,0,0,No,30
Female,Fall,Right,Freshman,CLA,U.S.,No,Yes,Evening,None,0,Instagram,2,1,3,8,10,Not sure,3.8,0,0,0,No,30
Female,Fall,Right,Sophomore,CLA,International,No,Yes,Morning,2,20,Instagram,2,1,6,7,9,Yes,0,3.8,3,0,No,30
Male,Fall,Right,Freshman,CLA,U.S.,Yes,No,Morning,None,30,Instagram,2,1,3,7,10,Yes,3.6,2.7,4,0,No,30
Female,Fall,Right,Junior,CLA,U.S.,Yes,No,Evening,None,20,YouTube,3,0.5,5,6,9,Yes,0,0,0,0,No,30
